date, pm25, pm10, o3, no2, so2, co
2018/9/10, 56, 47, 15, 5, 1, 
2018/9/11, 55, 9, 13, 3, 1, 
2018/9/12, 27, 34, 13, 5, 1, 
2018/9/13, 68, 33, 13, 5, 1, 
2018/9/14, 56, 43, 13, 2, 1, 
2018/9/15, 50, 69, 8, 6, 1, 
2018/9/16, 120, 121, 13, 7, 1, 
2018/9/17, 104, 75, 14, 7, 2, 
2018/9/18, 80, 108, 14, 6, 1, 
2018/9/19, 86, 109, 11, 6, 2, 
2018/9/20, 100, 8, 10, 1, , 
2018/9/21, 31, , , , , 
2018/9/24, 97, 64, 10, 7, 2, 
2018/9/25, 83, 121, 8, 7, 2, 
2018/9/26, 91, 85, 12, 5, 1, 
2018/9/27, 78, 8, 15, 2, 1, 
2018/9/28, 28, 10, 12, 1, 1, 
2018/9/29, 38, 13, 11, 2, 2, 
2018/9/30, 35, 42, 11, 3, 1, 
2018/10/1, 82, 82, 9, 5, 1, 
2018/4/2, 104, 57, 20, , , 1
2018/4/3, 59, 88, 22, 2, , 3
2018/4/4, 102, 116, 22, 3, , 1
2018/4/5, 79, 116, 25, 1, , 1
2018/4/6, 93, 103, 14, 7, 1, 3
2018/4/7, 113, 106, 15, 11, 1, 4
2018/4/8, 128, 121, 15, 9, 1, 3
2018/4/9, 125, 71, 19, 7, 1, 2
2018/4/10, 86, 62, 18, 3, , 1
2018/4/11, 77, 89, 16, 8, 1, 3
2018/4/12, 112, 132, 17, 6, 1, 2
2018/4/13, 100, 17, 18, 2, , 1
2018/4/14, 49, 49, 18, 6, 1, 3
2018/4/15, 104, 71, 14, 6, 1, 3
2018/4/16, 107, 85, 17, 7, 1, 3
2018/4/17, 108, 78, 16, 6, 1, 2
2018/4/18, 98, 53, 13, 5, 1, 1
2018/4/19, 69, 93, 18, 5, 1, 1
2018/4/20, 73, 47, 18, 5, 2, 1
2018/4/21, 63, 43, 20, 3, 1, 1
2018/4/22, 40, 59, 21, 4, 1, 1
2018/4/23, 62, 101, 21, 6, 1, 2
2018/4/24, 92, 97, 20, 6, 1, 1
2018/4/25, 83, 113, 20, 7, 1, 1
2018/4/26, 102, 114, 19, 8, 3, 1
2018/4/27, 94, 91, 17, 6, 2, 1
2018/4/28, 80, 28, 17, 5, 1, 1
2018/4/29, 46, 27, 18, 4, 1, 1
2018/4/30, 46, 59, 16, 5, 1, 1
2018/5/1, 77, 104, 19, 6, 1, 2
2018/5/2, 96, 79, 21, 5, 1, 1
2018/5/3, 67, 136, 21, 4, 2, 1
2018/5/4, 83, 101, 17, 2, 1, 1
2018/5/5, 64, 88, 18, 4, 1, 1
2018/5/6, 79, 97, 18, 7, 1, 2
2018/5/7, 82, 120, 19, 7, 1, 1
2018/5/8, 93, 107, 17, 7, 1, 1
2018/5/9, 92, 78, 18, 3, 1, 1
2018/5/10, 61, 119, 13, 5, 1, 1
2018/5/11, 94, 109, 17, 5, 1, 1
2018/5/12, 86, 111, 17, 4, 1, 1
2018/5/13, 84, 92, 13, 4, 1, 1
2018/5/14, 72, 84, 17, 6, 2, 1
2018/5/15, 65, 85, 19, 4, 1, 1
2018/5/16, 71, 104, 15, 6, 3, 1
2018/5/17, 84, 141, 12, 9, 2, 1
2018/5/18, 91, 201, 20, 6, 1, 1
2018/5/19, 105, 100, 20, 5, 2, 1
2018/5/20, 78, 159, 14, 4, 1, 1
2018/5/21, 82, 82, 17, 2, 1, 1
2018/5/22, 68, 83, 15, 1, 1, 1
2018/5/23, 70, 96, 14, 3, 1, 1
2018/5/24, 70, 89, 12, 5, 2, 1
2018/5/25, 74, 100, 13, 4, 1, 1
2018/5/26, 76, 105, 15, 3, 2, 1
